id,title,organization,sector,location,skills,duration,stipend,type,mode
27,Agri Research Intern,UrbanRise Solutions,Agriculture,Jaipur,Data Entry|Digital Marketing|Excel|HTML|Python|QGIS|SPSS,3 months,13000,PSU,Hybrid
28,Solar Projects Intern,EduBridge Alliance,Renewable Energy,Lucknow,ArcGIS|AutoCAD|Data Entry|Excel|Illustrator|Java|Power BI|React|Research,2 months,10000,PSU,Online
29,Spatial Data Intern,Skyline Innovations,GIS,Nagpur,ArcGIS|Excel|QGIS|Research|SQL,3 months,6000,Private,Hybrid
30,Investment Research Intern,EduBridge Alliance,Finance,Chennai,ArcGIS|AutoCAD|Digital Marketing|GST|Python|SPSS|SolidWorks|UI/UX,2 months,9500,Startup,Offline
31,Cyber Risk Intern,CivicLink Foundation,Cybersecurity,Indore,Canva|Java|Linux|Networking|Python|Tableau,2 months,3000,NGO,Online
32,Supply Chain Intern,Insight Finance Group,Logistics,Lucknow,ArcGIS|Content Writing|Excel|Linux,6 months,9500,Startup,Hybrid
33,Clinical Research Intern,Innovate Labs,Healthcare,Kochi,Excel|GST|Networking|QGIS|SPSS|Tableau,2 months,6500,Private,Offline
34,Policy Research Intern,DataPulse Analytics,Public Policy,Remote,Content Writing|Excel|Illustrator|React|Tally,2 months,14000,Govt,Hybrid
35,Full Stack Intern,BrightPath Designs,IT,Kolkata,ArcGIS|Networking|Power BI|React|UI/UX,6 months,7500,PSU,Hybrid
36,IT Support Intern,TourEase Travels,IT,Kolkata,Content Writing|HTML|Power BI|QGIS|React|SQL,3 months,12500,Startup,Hybrid
37,Healthcare Data Intern,Skyline Innovations,Healthcare,Chandigarh,Excel|Figma|Illustrator|Java|Research|SPSS|SQL|Typing,2 months,4500,NGO,Hybrid
38,Academic Research Intern,GreenGrowth Initiatives,Education,Visakhapatnam,Canva|Content Writing|Excel|Linux|Research|Tableau,6 months,3000,Startup,Online
39,Software Intern,Insight Finance Group,IT,Indore,CSS|Canva|Figma|HTML|JavaScript|R|SQL,1 month,5500,PSU,Offline
40,Investment Research Intern,Insight Finance Group,Finance,Ahmedabad,ArcGIS|C|JavaScript|Power BI|Python|SEO|SQL,2 months,3500,PSU,Hybrid
41,Investment Research Intern,UrbanRise Solutions,Finance,Noida,AutoCAD|Content Writing|Excel|HTML|Illustrator|Photoshop|SQL,6 months,13000,Startup,Offline
42,Supply Chain Intern,BrightPath Designs,Logistics,Remote,Digital Marketing|Excel|Power BI|Python|SEO|SQL|Tableau,1 month,7000,Startup,Hybrid
43,Business Intelligence Intern,TourEase Travels,Data Analytics,Mysuru,AutoCAD|Java|Power BI|R|React|SQL,1 month,7500,Startup,Offline
44,Social Media Intern,TourEase Travels,Media,Bengaluru,AutoCAD|Content Writing|Digital Marketing|SPSS|SolidWorks,6 months,12500,NGO,Hybrid
45,Full Stack Intern,MapCraft GIS,IT,Remote,AutoCAD|C++|Networking|Photoshop|Python|React|SQL,2 months,3500,Startup,Hybrid
46,Travel Operations Intern,NextGen Logistics,Tourism,Raipur,C++|CSS|Content Writing|Data Entry|Digital Marketing|Excel|Tableau|Tally,6 months,10500,PSU,Online
47,Digital Governance Intern,AgriNova Collective,E-Governance,Guwahati,C++|Data Entry|Excel|Illustrator|Java|Linux|Python|Research|SPSS,3 months,10000,NGO,Hybrid
48,Learning Design Intern,Innovate Labs,Education,Nagpur,Content Writing|Data Entry|Digital Marketing|R|Research,6 months,4000,Private,Offline
49,Academic Research Intern,FutureWave Tech,Education,Ranchi,Canva|Content Writing|Digital Marketing|Figma|Illustrator|QGIS,3 months,11000,Govt,Offline
50,Sustainability Intern,PolicyWorks India,Renewable Energy,Noida,Content Writing|Excel|HTML|Illustrator|SolidWorks|Tableau,3 months,11500,NGO,Hybrid
51,Compliance Intern,BrightPath Designs,Law,Surat,C|Content Writing|HTML|Research|Tally,2 months,15000,Private,Offline
52,Academic Research Intern,UrbanRise Solutions,Education,Pune,AutoCAD|C|C++|Excel|Photoshop|Research,1 month,7000,PSU,Hybrid
53,Learning Design Intern,Spectrum Media House,Education,Raipur,Content Writing|Excel|Research|Typing,2 months,11000,PSU,Hybrid
54,Operations Intern,LexGuard Associates,Logistics,Surat,Excel|HTML|Networking|Power BI|SQL|Tally,2 months,7500,Private,Offline
55,Graphic Design Intern,LexGuard Associates,Design,Surat,ArcGIS|Figma|Java|Photoshop|Research|SQL,2 months,4500,Govt,Offline
56,Product Design Intern,Insight Finance Group,Design,Chennai,C++|Canva|Excel|Figma|Illustrator|QGIS|Tableau|UI/UX,1 month,7000,Govt,Hybrid
57,Sustainability Intern,HealthSphere Analytics,Renewable Energy,Remote,AutoCAD|C++|Data Entry|Excel|GST|Power BI|Python|R|Research,2 months,8000,Private,Offline
58,GIS Mapping Intern,PolicyWorks India,GIS,Visakhapatnam,ArcGIS|AutoCAD|CSS|Excel|Illustrator|Java|React|Typing,3 months,8000,Startup,Offline
59,Solar Projects Intern,GreenGrowth Initiatives,Renewable Energy,Chennai,AutoCAD|Data Entry|Excel|QGIS|Research|SolidWorks|UI/UX,2 months,5500,Startup,Online
60,Spatial Data Intern,Skyline Innovations,GIS,Mumbai,ArcGIS|Data Entry|QGIS|Tableau,6 months,11500,Govt,Hybrid
61,Investment Research Intern,HealthSphere Analytics,Finance,Ranchi,CSS|Canva|Excel|GST|HTML|Power BI|SQL|Tally,1 month,11500,NGO,Online
62,IT Support Intern,MapCraft GIS,IT,Chennai,ArcGIS|Data Entry|Figma|Linux|SPSS|SQL,3 months,3500,PSU,Online
63,Business Intelligence Intern,DataPulse Analytics,Data Analytics,Noida,JavaScript|Python|SQL|UI/UX,3 months,12000,Startup,Online
64,Academic Research Intern,NextGen Logistics,Education,Gurugram,Content Writing|Figma|JavaScript|R|Research|SEO,3 months,13000,Govt,Online
65,Supply Chain Intern,DataPulse Analytics,Logistics,Ahmedabad,HTML|Illustrator|Power BI|Research|SQL,6 months,6500,PSU,Hybrid
66,Spatial Data Intern,LexGuard Associates,GIS,Nagpur,ArcGIS|C++|Content Writing|Excel|Illustrator,6 months,12000,NGO,Online
67,GIS Mapping Intern,PolicyWorks India,GIS,Mumbai,ArcGIS|AutoCAD|Excel|Power BI|QGIS|R|Research|SQL|Tableau,2 months,5000,PSU,Offline
68,Graphic Design Intern,Innovate Labs,Design,Thiruvananthapuram,Content Writing|Illustrator|Linux|Photoshop|UI/UX,3 months,13000,Govt,Offline
69,Operations Intern,NextGen Logistics,Logistics,Jaipur,Canva|Excel|SEO|Tableau,2 months,11000,Govt,Offline
70,Software Intern,DataPulse Analytics,IT,Bhopal,C|Content Writing|Excel|JavaScript|Linux|Python|QGIS|SPSS,3 months,4000,Govt,Online
71,IT Support Intern,TourEase Travels,IT,Chandigarh,CSS|Data Entry|HTML|Tableau|UI/UX,1 month,10000,Startup,Online
72,Tour Planning Intern,TourEase Travels,Tourism,Noida,C|Content Writing|Digital Marketing|Excel|Illustrator|Photoshop|R|Tableau,2 months,11000,Startup,Offline
73,Agri Research Intern,HealthSphere Analytics,Agriculture,Raipur,C|Data Entry|Excel|R|Research|SPSS|SQL|UI/UX,3 months,13000,Private,Hybrid
74,Business Intelligence Intern,AgriNova Collective,Data Analytics,Thiruvananthapuram,Data Entry|Excel|R|SPSS,6 months,4000,PSU,Hybrid
75,Data Analyst Intern,Innovate Labs,Data Analytics,Ranchi,C++|HTML|Python|UI/UX,6 months,6500,NGO,Hybrid
76,Cyber Risk Intern,DataPulse Analytics,Cybersecurity,Thiruvananthapuram,C++|Canva|Networking|Photoshop|Python,6 months,10000,Private,Online
77,Travel Operations Intern,NextGen Logistics,Tourism,Mysuru,Content Writing|Digital Marketing|Excel|Research|SEO|SQL|Typing,2 months,9000,Startup,Offline
78,Data Analyst Intern,Insight Finance Group,Data Analytics,Guwahati,Data Entry|Excel|Figma|R|SQL|Typing,2 months,3000,Govt,Hybrid
79,Supply Chain Intern,LexGuard Associates,Logistics,Noida,AutoCAD|C|C++|Excel|Power BI|SQL,3 months,4500,Private,Hybrid
80,Data Analyst Intern,PolicyWorks India,Data Analytics,Pune,C|GST|Illustrator|Power BI|R|Research|SQL,1 month,12000,NGO,Hybrid
81,Clinical Research Intern,LexGuard Associates,Healthcare,Lucknow,C++|JavaScript|Research|Typing,1 month,13000,NGO,Online
82,Business Intelligence Intern,Innovate Labs,Data Analytics,Chandigarh,AutoCAD|Excel|HTML|QGIS|React|SQL|UI/UX,2 months,10000,PSU,Hybrid
83,Agri Research Intern,Innovate Labs,Agriculture,Ranchi,CSS|Digital Marketing|Excel|GST|Java|Linux|SPSS|Tableau,1 month,12000,Private,Hybrid
84,Digital Governance Intern,MapCraft GIS,E-Governance,Mysuru,C|Excel|Figma|Illustrator|Java|Python,2 months,10000,Govt,Online
85,Legal Research Intern,CivicLink Foundation,Law,Jaipur,AutoCAD|Content Writing|Digital Marketing|GST|Research,3 months,4000,PSU,Offline
86,Compliance Intern,TourEase Travels,Law,Kolkata,Content Writing|GST|JavaScript|Linux|Research|Tally,3 months,6000,PSU,Online
87,Healthcare Data Intern,DataPulse Analytics,Healthcare,Guwahati,Canva|JavaScript|SPSS,2 months,10000,Private,Online
88,Sustainability Intern,TourEase Travels,Renewable Energy,Kochi,AutoCAD|Data Entry|Digital Marketing|Excel|Power BI|QGIS|Research,2 months,7500,PSU,Online
89,Academic Research Intern,BrightPath Designs,Education,Bengaluru,Excel|Figma|HTML|Python|QGIS|R|Research,1 month,3000,NGO,Hybrid
90,Agri Research Intern,CivicLink Foundation,Agriculture,Bengaluru,AutoCAD|C++|Content Writing|Data Entry|HTML|JavaScript|Research|SPSS,2 months,6000,PSU,Hybrid
91,Supply Chain Intern,HealthSphere Analytics,Logistics,Chandigarh,Canva|Excel|Figma|Networking|Power BI|SQL,1 month,8000,Private,Hybrid
92,Security Analyst Intern,SecureNet Systems,Cybersecurity,Indore,Linux|Networking|Python|QGIS|Tally,2 months,11500,NGO,Online
93,Cyber Risk Intern,DataPulse Analytics,Cybersecurity,Visakhapatnam,Digital Marketing|Linux|Networking|Photoshop|Python|SQL,2 months,6500,Govt,Hybrid
94,Business Intelligence Intern,PolicyWorks India,Data Analytics,Ranchi,HTML|Python|Tally,1 month,9000,PSU,Hybrid
95,Software Intern,Insight Finance Group,IT,Thiruvananthapuram,AutoCAD|Canva|Digital Marketing|Linux|Photoshop|Power BI|Python,6 months,10000,Govt,Online
96,Governance Analyst Intern,PolicyWorks India,Public Policy,Indore,Content Writing|Python|R|SEO|SPSS,1 month,15000,PSU,Offline
97,Sustainability Intern,MapCraft GIS,Renewable Energy,Mumbai,ArcGIS|AutoCAD|Canva|Data Entry|Digital Marketing|Excel|R|SEO,1 month,7000,Private,Offline
98,Spatial Data Intern,HealthSphere Analytics,GIS,Noida,ArcGIS|C|Content Writing|Illustrator|QGIS|R|SolidWorks|UI/UX,1 month,6500,NGO,Online
99,Social Media Intern,SecureNet Systems,Media,Mysuru,CSS|Canva|Content Writing|Digital Marketing|Excel|Java|Networking,2 months,3000,Startup,Online
100,Product Design Intern,TourEase Travels,Design,Delhi,ArcGIS|CSS|Canva|Figma|Illustrator|Photoshop|UI/UX,3 months,5000,PSU,Offline
101,Graphic Design Intern,Spectrum Media House,Design,Hyderabad,Canva|Data Entry|Excel|Figma|Java|Photoshop|SEO|UI/UX,3 months,13500,NGO,Hybrid
102,Civic Tech Intern,LexGuard Associates,E-Governance,Remote,AutoCAD|Excel|JavaScript|Linux|Python|Research|SPSS|SQL,6 months,4500,NGO,Online
103,Governance Analyst Intern,MapCraft GIS,Public Policy,Gurugram,Content Writing|Excel|GST|R|Research|Tableau|Tally|Typing,1 month,11500,NGO,Hybrid
104,IT Support Intern,CivicLink Foundation,IT,Chandigarh,ArcGIS|C|CSS|GST|SQL,1 month,15000,NGO,Hybrid
105,Travel Operations Intern,Skyline Innovations,Tourism,Guwahati,CSS|Digital Marketing|GST|Networking|Research|Tableau|Tally,2 months,9500,Private,Online
106,Finance Analyst Intern,AgriNova Collective,Finance,Patna,Content Writing|Python|Research|SPSS|SQL,1 month,6500,PSU,Online
107,Business Intelligence Intern,Insight Finance Group,Data Analytics,Patna,ArcGIS|Content Writing|HTML|Networking|Python|R,3 months,14000,PSU,Offline
108,Cyber Risk Intern,EcoVision Energy,Cybersecurity,Bengaluru,CSS|Digital Marketing|Linux|Networking|Python|R|Tableau,1 month,13500,Govt,Hybrid
109,Spatial Data Intern,Innovate Labs,GIS,Jaipur,ArcGIS|Excel|HTML|Illustrator|Python|SPSS|UI/UX,1 month,7000,Private,Hybrid
110,Agri Research Intern,SecureNet Systems,Agriculture,Pune,CSS|Data Entry|Excel|React|SPSS|SQL|Tally,6 months,5000,NGO,Offline
111,Supply Chain Intern,Skyline Innovations,Logistics,Nagpur,Data Entry|Excel|GST|Illustrator|Power BI|Python,1 month,14500,PSU,Hybrid
112,Legal Research Intern,BrightPath Designs,Law,Remote,AutoCAD|Content Writing|Photoshop|Research|Tableau,6 months,13000,NGO,Online
113,Civic Tech Intern,Skyline Innovations,E-Governance,Ahmedabad,ArcGIS|C|Java|Python,2 months,11500,PSU,Offline
114,Field Operations Intern,Spectrum Media House,Agriculture,Jaipur,Data Entry|Java|Linux|R|Research|SPSS,6 months,12500,NGO,Hybrid
115,Field Operations Intern,EcoVision Energy,Agriculture,Jaipur,Data Entry|Excel|Illustrator|Photoshop|Python|React|SPSS|Tally,1 month,12000,PSU,Hybrid
116,Investment Research Intern,CivicLink Foundation,Finance,Jaipur,C|C++|Networking|Power BI|Python|R,6 months,7000,Private,Online
117,Policy Research Intern,TourEase Travels,Public Policy,Chennai,Content Writing|Excel|HTML|Linux|Networking|Photoshop|SEO,2 months,5000,NGO,Offline
118,Security Analyst Intern,AgriNova Collective,Cybersecurity,Delhi,AutoCAD|Content Writing|Linux|Networking|Python|React|Typing,2 months,10000,PSU,Offline
119,IT Support Intern,BrightPath Designs,IT,Guwahati,Figma|GST|HTML|React|Research|SQL,6 months,13500,NGO,Offline
120,Agri Research Intern,BrightPath Designs,Agriculture,Nagpur,CSS|Canva|Excel|Networking|Research|SPSS,1 month,14500,Private,Hybrid
121,Data Analyst Intern,AgriNova Collective,Data Analytics,Noida,Illustrator|Photoshop|Power BI|Python|React|SEO|SQL,1 month,5500,Private,Offline
122,Learning Design Intern,HealthSphere Analytics,Education,Chandigarh,Canva|Content Writing|Excel|Networking|Research|SolidWorks|UI/UX,6 months,14000,Govt,Hybrid
123,Operations Intern,PolicyWorks India,Logistics,Kolkata,Data Entry|Excel|Photoshop|Python|SolidWorks,6 months,10500,NGO,Hybrid
124,Tour Planning Intern,SecureNet Systems,Tourism,Nagpur,C++|Content Writing|Data Entry|Digital Marketing|Power BI|SPSS|SQL|UI/UX,1 month,8500,NGO,Online
125,IT Support Intern,AgriNova Collective,IT,Ahmedabad,ArcGIS|C|Linux|Research|SQL|UI/UX,2 months,11000,Private,Hybrid
126,Travel Operations Intern,Spectrum Media House,Tourism,Bengaluru,C++|Digital Marketing|Excel|React|SPSS|Tableau,2 months,7000,PSU,Online
127,Compliance Intern,Innovate Labs,Law,Noida,Canva|Content Writing|JavaScript|Research|SolidWorks|Typing,6 months,3500,Private,Offline
128,Investment Research Intern,FutureWave Tech,Finance,Surat,C|Content Writing|Figma|Python|React|SQL,3 months,10000,Govt,Offline
129,Business Intelligence Intern,MapCraft GIS,Data Analytics,Guwahati,C|Digital Marketing|Power BI|SQL|Tableau,3 months,4000,Startup,Hybrid
130,Business Intelligence Intern,Skyline Innovations,Data Analytics,Bengaluru,ArcGIS|C|GST|Linux|Power BI|Python|Research|SQL,3 months,12500,Govt,Offline
131,Investment Research Intern,UrbanRise Solutions,Finance,Delhi,ArcGIS|Networking|Python|Tally|Typing,2 months,6000,Private,Offline
132,Operations Intern,CivicLink Foundation,Logistics,Lucknow,AutoCAD|Excel|GST|JavaScript|Power BI|SQL|Tally,3 months,4500,PSU,Online
133,Policy Research Intern,UrbanRise Solutions,Public Policy,Surat,Excel|Figma|Python|React|SEO|SQL|Typing,1 month,11000,Private,Online
134,Legal Research Intern,PolicyWorks India,Law,Delhi,ArcGIS|Content Writing|Digital Marketing|JavaScript|React|SQL|Typing,3 months,9500,PSU,Online
135,Legal Research Intern,SecureNet Systems,Law,Noida,Content Writing|HTML|Research|SPSS|SQL|Typing,2 months,12500,Private,Online
136,Cyber Risk Intern,NextGen Logistics,Cybersecurity,Hyderabad,Figma|Linux|Research|SEO|SolidWorks|Tableau|Typing,2 months,15000,Startup,Hybrid
137,Tour Planning Intern,EduBridge Alliance,Tourism,Pune,C++|Content Writing|Digital Marketing|Excel|R|SEO|UI/UX,3 months,8000,Private,Hybrid
138,Content Strategist Intern,Spectrum Media House,Media,Bhopal,Canva|Figma|SolidWorks|Tableau|Tally,3 months,14500,Govt,Offline
139,Field Operations Intern,GreenGrowth Initiatives,Agriculture,Chandigarh,ArcGIS|Excel|HTML|Photoshop|Research|SPSS,3 months,13500,Private,Hybrid
140,Operations Intern,PolicyWorks India,Logistics,Indore,AutoCAD|C|CSS|Excel|JavaScript|Power BI|SQL,2 months,10500,NGO,Online
141,Graphic Design Intern,EduBridge Alliance,Design,Jaipur,Figma|Illustrator|Java|Photoshop|Power BI|Research|Tableau|UI/UX,2 months,8000,NGO,Online
142,Social Media Intern,AgriNova Collective,Media,Chandigarh,C|Data Entry|Power BI|SEO|Typing,3 months,12000,Govt,Offline
143,Spatial Data Intern,PolicyWorks India,GIS,Kochi,ArcGIS|C|C++|QGIS|UI/UX,3 months,7000,PSU,Hybrid
144,Supply Chain Intern,BrightPath Designs,Logistics,Jaipur,ArcGIS|C++|Excel|Linux|Photoshop|SQL|Tally|Typing,1 month,14000,Private,Online
145,IT Support Intern,PolicyWorks India,IT,Lucknow,Java|Linux|Python|QGIS|React|Tableau|Typing,2 months,6500,NGO,Offline
146,Content Strategist Intern,PolicyWorks India,Media,Raipur,Content Writing|Figma|Illustrator|Linux|Networking|React|Research|SEO,1 month,5000,Private,Online
147,Agri Research Intern,UrbanRise Solutions,Agriculture,Noida,AutoCAD|Networking|Power BI|QGIS|Research|SolidWorks,2 months,9500,Govt,Hybrid
148,Graphic Design Intern,HealthSphere Analytics,Design,Ranchi,GST|Networking|SolidWorks|UI/UX,6 months,11000,Private,Offline
149,Investment Research Intern,NextGen Logistics,Finance,Gurugram,AutoCAD|C++|JavaScript|Python|QGIS|Research|SQL,2 months,7000,NGO,Hybrid
150,Content Strategist Intern,CivicLink Foundation,Media,Indore,ArcGIS|Content Writing|Digital Marketing|React|SQL|Typing,2 months,12500,Private,Hybrid
151,Supply Chain Intern,NextGen Logistics,Logistics,Indore,AutoCAD|Canva|Java|JavaScript|Networking|SQL,3 months,5500,PSU,Offline
152,Cyber Risk Intern,UrbanRise Solutions,Cybersecurity,Mysuru,Data Entry|Digital Marketing|Linux|Networking|Photoshop|Python,1 month,5500,Private,Hybrid
153,Full Stack Intern,CivicLink Foundation,IT,Lucknow,Data Entry|HTML|JavaScript|Python|QGIS|SPSS,1 month,13500,Govt,Offline
154,Software Intern,CivicLink Foundation,IT,Bengaluru,AutoCAD|HTML|Power BI|Python,1 month,13500,Private,Hybrid
155,Legal Research Intern,NextGen Logistics,Law,Delhi,Content Writing|Illustrator|Linux|Photoshop|React|SPSS,2 months,12000,Private,Hybrid
156,Civic Tech Intern,DataPulse Analytics,E-Governance,Gurugram,AutoCAD|Excel|GST|JavaScript|SQL,2 months,9000,PSU,Hybrid
157,Policy Research Intern,TourEase Travels,Public Policy,Mumbai,ArcGIS|Canva|Content Writing|Networking|Research|UI/UX,3 months,3000,Startup,Online
158,Sustainability Intern,PolicyWorks India,Renewable Energy,Patna,Data Entry|Excel|Java|QGIS|SPSS|SQL|Typing,3 months,9500,Private,Hybrid
159,Solar Projects Intern,BrightPath Designs,Renewable Energy,Chandigarh,AutoCAD|Excel|Figma|JavaScript|Photoshop|Research,6 months,4500,Govt,Hybrid
160,Graphic Design Intern,DataPulse Analytics,Design,Noida,Canva|Illustrator|React|Research|SEO|SolidWorks|UI/UX,2 months,11500,Private,Offline
161,Digital Governance Intern,Insight Finance Group,E-Governance,Lucknow,ArcGIS|Excel|GST|Python|SEO|SQL,6 months,6500,Startup,Online
162,Cyber Risk Intern,UrbanRise Solutions,Cybersecurity,Nagpur,ArcGIS|AutoCAD|Linux|Python|Tableau|Tally,2 months,6000,NGO,Offline
163,Full Stack Intern,GreenGrowth Initiatives,IT,Visakhapatnam,CSS|HTML|Java|Python|SolidWorks|UI/UX,3 months,13000,PSU,Hybrid
164,Healthcare Data Intern,LexGuard Associates,Healthcare,Mysuru,Excel|Networking|Photoshop|Research|SEO|SPSS,2 months,9000,Govt,Online
165,Academic Research Intern,DataPulse Analytics,Education,Remote,Content Writing|Excel|Research|Typing,2 months,3500,Govt,Online
166,Solar Projects Intern,Innovate Labs,Renewable Energy,Pune,AutoCAD|C++|Digital Marketing|JavaScript,3 months,10500,Startup,Hybrid
167,Solar Projects Intern,NextGen Logistics,Renewable Energy,Hyderabad,C|Canva|Excel|Java|QGIS|R|Research|UI/UX,1 month,11000,Private,Online
168,Social Media Intern,TourEase Travels,Media,Mysuru,Canva|Content Writing|Excel|Java|Photoshop|SEO,3 months,9000,Startup,Offline
169,Security Analyst Intern,Skyline Innovations,Cybersecurity,Lucknow,Figma|Java|Linux|Networking|Power BI|Research|SEO|SQL,1 month,12500,Startup,Offline
170,Compliance Intern,Spectrum Media House,Law,Thiruvananthapuram,ArcGIS|Figma|Power BI|Research,6 months,12000,Private,Offline
171,Supply Chain Intern,AgriNova Collective,Logistics,Mumbai,Excel|Power BI|Python|SQL|Tableau|Typing,3 months,7500,PSU,Offline
172,Clinical Research Intern,Insight Finance Group,Healthcare,Lucknow,Excel|HTML|QGIS|R,2 months,8000,Startup,Online
173,Spatial Data Intern,EcoVision Energy,GIS,Gurugram,ArcGIS|CSS|Canva|Excel|Networking|QGIS|React|Research,3 months,7500,Private,Online
174,Data Analyst Intern,EcoVision Energy,Data Analytics,Patna,HTML|Illustrator|Photoshop|Power BI|Python|React|SQL,6 months,14500,Govt,Hybrid
175,Tour Planning Intern,DataPulse Analytics,Tourism,Indore,AutoCAD|Content Writing|Data Entry|Excel|R,1 month,14000,Govt,Hybrid
176,Agri Research Intern,SecureNet Systems,Agriculture,Remote,C|Canva|Figma|Java|React|Research,2 months,6500,Startup,Online
177,Data Analyst Intern,LexGuard Associates,Data Analytics,Nagpur,Data Entry|Java|Power BI|React|SQL|Tableau|Tally,1 month,9000,PSU,Hybrid
178,Civic Tech Intern,HealthSphere Analytics,E-Governance,Jaipur,CSS|Content Writing|Java|Photoshop|Power BI|Research|SQL,2 months,3500,Private,Online
179,Legal Research Intern,TourEase Travels,Law,Nagpur,Canva|Illustrator|Java|Research|Typing|UI/UX,2 months,13000,PSU,Hybrid
180,Graphic Design Intern,HealthSphere Analytics,Design,Kochi,AutoCAD|SPSS|SQL|UI/UX,3 months,10500,Private,Offline
181,Sustainability Intern,FutureWave Tech,Renewable Energy,Jaipur,ArcGIS|Excel|HTML|Linux|Photoshop|Research|SQL,2 months,5000,PSU,Online
182,Sustainability Intern,MapCraft GIS,Renewable Energy,Ranchi,ArcGIS|HTML|Research|Typing,1 month,14500,Govt,Online
183,Travel Operations Intern,MapCraft GIS,Tourism,Lucknow,C|C++|Canva|Content Writing|Excel|SolidWorks|Tally|UI/UX,3 months,7000,Govt,Offline
184,Product Design Intern,UrbanRise Solutions,Design,Remote,GST|HTML|Illustrator|Photoshop,3 months,7500,PSU,Offline
185,Spatial Data Intern,TourEase Travels,GIS,Chandigarh,ArcGIS|Excel|Power BI|Research|Tally,3 months,6000,Private,Online
